NP,NC,mode,trial,total_ops,duration_ns,ops_per_sec,ns_per_op,min_thread_rate,max_thread_rate,sum_prod_rate,total_iters,iters_per_op
8,8,batch8,5,8049893,3005258416,2686140.38,372.28,316571.66,356281.51,2678704.69,3034546711,188.484
8,8,batch16,1,7679702,3005243083,2566247.54,389.67,305085.46,335134.76,2555583.60,3125403601,203.485
8,8,batch16,2,7538462,3005239000,2515142.25,397.59,294719.11,329163.82,2508540.35,4111721632,272.716
8,8,batch16,3,9338141,3003804542,3112089.85,321.33,353310.59,429198.34,3111296.01,3811739013,204.042
8,8,batch16,4,8337117,3005241250,2783845.30,359.22,320622.32,391039.44,2774301.46,3280014627,196.712
8,8,batch16,5,7576896,3005221500,2528404.90,395.51,295157.17,337797.77,2521323.51,3510074405,231.630
8,8,batch32,1,7564729,3005262084,2523957.43,396.20,299391.16,340245.06,2522458.53,3302412020,218.052
8,8,batch32,2,7431605,3005232292,2479820.98,403.25,289692.43,335649.75,2473685.26,3771692468,253.724
8,8,batch32,3,7576819,3005220708,2528355.63,395.51,291154.24,335183.31,2521323.95,4026670914,265.723
8,8,batch32,4,7500770,3010210584,2498828.15,400.19,286153.13,346091.74,2491866.77,4035615597,269.013
8,8,batch32,5,7303718,3001830625,2439742.25,409.88,287595.44,320094.26,2433209.69,4193029502,287.048
16,16,batch8,1,4867316,3006873958,1627631.67,614.39,75251.97,137759.47,1625074.73,8150300126,835.843
16,16,batch8,2,5403013,3001495000,1810213.12,552.42,71057.49,163433.46,1804738.79,7952714522,735.951
16,16,batch8,3,4393656,3006343542,1463551.65,683.27,63158.29,136409.37,1462258.23,8822956169,1004.056
16,16,batch8,4,4197365,3000884041,1402674.78,712.92,53123.63,149488.08,1399611.87,8543975605,1017.774
16,16,batch8,5,4572333,3003789584,1530201.78,653.51,68391.42,145316.37,1524246.03,8204449490,897.183
16,16,batch16,1,3890422,3010319292,1303939.41,766.91,57241.13,111039.92,1300958.34,9299146307,1192.627
16,16,batch16,2,4546350,3008660083,1521002.85,657.46,77019.16,170106.09,1519101.85,8623002143,946.639
16,16,batch16,3,4816825,3008267333,1608404.48,621.73,59479.27,145304.57,1607950.53,8224435127,852.274
16,16,batch16,4,4526187,3010621625,1505019.14,664.44,69300.12,130029.63,1504949.17,8282447725,914.668
16,16,batch16,5,4805660,3001578417,1604283.69,623.33,78906.59,135966.31,1602688.65,8233987063,856.697
16,16,batch32,1,4557317,3009503916,1525870.36,655.36,69855.25,125851.19,1521644.73,8321404019,911.346
16,16,batch32,2,4326411,3010476750,1439080.23,694.89,55628.46,152405.88,1443240.83,8328477021,960.700
16,16,batch32,3,4223141,3004853875,1406834.15,710.82,67008.69,118796.66,1410877.81,8811494918,1041.441
16,16,batch32,4,4292858,3000690708,1438778.85,695.03,68899.93,128422.93,1432602.44,8930128953,1040.115
16,16,batch32,5,4221577,3008348291,1414093.24,707.17,60613.27,123973.72,1405114.31,8814087387,1043.910
